"BindingDB MonomerID","Ligand SMILES","Gbinding Average"
76086,"COc1ccc(cc1)-c1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)Nc2ncccn2)c2ccccc2n1",4.6108
76087,"Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4ccccc34)-c3ccccc3Cl)cc2)c1C",4.7258
76088,"COc1ccc(cc1)-c1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)Nc2onc(C)c2C)c2ccccc2n1",4.7721
76090,"CC(C)(C)c1ccc(cc1)-c1c(n[nH]c1-c1ccccc1)-c1nc2ccccc2[nH]1",6.3242
76091,"CC(C)C(=O)N1CCN(CC1)c1nc(C)nc2sc3CCCCc3c12",4.8314
93452,"Clc1cccc(c1)-n1ncc(C(=O)NCC2CC2)c1-c1ccc(cc1)-c1ccccc1",6.6449
93453,"Cc1ccccc1-n1ncc(C(=O)NCC2CC2)c1-c1ccc(cc1)-c1ccccc1",6.4089
93454,"Cc1cccc(c1)-n1ncc(C(=O)NCC2CC2)c1-c1ccc(cc1)-c1ccccc1",6.2076
93455,"CCCCNC(=O)c1cnn(c1-c1ccc(cc1)-c1ccccc1)-c1cccc(Cl)c1",6.3785
93456,"CCCCNC(=O)c1cnn(c1-c1ccc(cc1)-c1ccccc1)-c1ccccc1C",5.5528
93457,"CCCCNC(=O)c1cnn(c1-c1ccc(cc1)-c1ccccc1)-c1cccc(C)c1",5.5686
93458,"Cc1cccc(c1C)-n1ncc(C(N)=O)c1-c1ccc(cc1)-c1ccccc1",5.6021
93459,"O=C(NCCCc1ccccc1)c1cnn(c1-c1ccc(cc1)-c1ccccc1)-c1cccc2ccccc12",7.0458
93460,"Clc1cccc(c1)-n1ncc(C(=O)NCCCc2ccccc2)c1-c1ccc(cc1)-c1ccccc1",6.5431
93461,"Cc1ccccc1-n1ncc(C(=O)NCCCc2ccccc2)c1-c1ccc(cc1)-c1ccccc1",6.699
93462,"Cc1cccc(c1)-n1ncc(C(=O)NCCCc2ccccc2)c1-c1ccc(cc1)-c1ccccc1",6.699
93463,"Cc1cccc(c1C)-n1ncc(C(=O)NCCCc2ccccc2)c1-c1ccc(cc1)-c1ccccc1",7.0485
95787,"Clc1ccc(CCNC(=O)Nc2ccc(Cl)cc2)cc1",6.7905
159779,"CCCCS(=O)(=O)C[C@H]1C[C@H](C1)N(C)c1ncnc2[nH]ccc12",6.9208
163041,"CN(C)c1cnn(C2CC(C)(C)CC(C)(C)C2)c(=O)c1Cl",5.9901
163042,"CCCNc1cnn(C2CC(C)(C)CC(C)(C)C2)c(=O)c1Cl",6.3748
163048,"CC1(C)CC(CC(C)(C)C1)n1ncc(NCCN2CCOCC2)c(Cl)c1=O",5.4
163050,"CCCNc1cnn(C2CC(C)(C)CC(C)(C)C2)c(=O)c1Br",6.7595
163051,"CC1(C)CC(CC(C)(C)C1)n1ncc(NCCN2CCOCC2)c(Br)c1=O",5.73
163065,"CN(C)CCN(C)c1cnn(C2CC(C)(C)CC(C)(C)C2)c(=O)c1Cl",5.58
163067,"CCCn1ncc2c1cnn(C1CC(C)(C)CC(C)(C)C1)c2=O",6.5901
163069,"CC1(C)CC(CC(C)(C)C1)n1ncc2n(CCN3CCOCC3)ncc2c1=O",6.6596
163071,"CN(C)CCn1ncc2c1cnn(C1CC(C)(C)CC(C)(C)C1)c2=O",5.4
176622,"COc1nc(NCCc2ccc(F)cc2)nc(n1)-c1ccc(Cl)c(c1)C(C)(C)O",6.5229
208270,"FC(F)(F)S(=O)(=O)N1CCC(CC1)Nc1cc(=O)[nH]c2ccc(cc12)C(c1nccs1)c1ccc(Cl)cc1",8.3565
208271,"FC(F)(F)S(=O)(=O)N1CCC(CC1)Nc1cc(=O)[nH]c2ccc(cc12)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1",8.9035
235937,"CCCCCCC(C)(C)c1cc(OC)c(C2=C[C@H]3CC[C@]2(C(=O)OC)C3(C)C)c(OC)c1",5.4724
242463,"Fc1ccc(Nc2ccc(cc2)S(=O)(=O)NCC2CC2)c(F)c1",5.2218
286105,"NC(=O)[C@H](CO)N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](C(=N1)c1ccc(Cl)cc1)c1ccccc1",6.1249
295688,"COCC(C)(C)c1cc(NC(=O)C(C)(C)S(=O)(=O)CC2CCOCC2)on1",5.0655
295691,"COCC(C)(C)c1cc(NC(=O)C(C)(C)S(=O)(=O)C2CCOCC2)on1",4.301
295693,"CN(CC1CCOCC1)C(C)(C)C(=O)Nc1cc(no1)C(C)(C)C#N",4.4045
295694,"COCC(C)(C)c1cc(NC(=O)C(C)(C)N(C)CC2CCOCC2)on1",6.0348
295695,"CN(CC1CCOCC1)C(C)(C)C(=O)Nc1cc(no1)C(C)(C)CO",5.0925
295696,"CN(C1CCN(CC1)S(C)(=O)=O)C(C)(C)C(=O)Nc1cc(no1)C(C)(C)C#N",5.6021
295697,"CN(C1CCN(CC1)S(C)(=O)=O)C(C)(C)C(=O)Nc1cc(no1)C(C)(C)CO",5.5086
295698,"CC(C)(C#N)c1cc(NC(=O)[C@@H]2CCCN2C2CCOCC2)on1",4.0605
295701,"CN(CC1CCOCC1)C(C)(C)C(=O)Nc1nnc(s1)C(C)(C)CO",3.9208
295702,"CN(C1CCN(CC1)S(C)(=O)=O)C(C)(C)C(=O)Nc1nnc(s1)C(C)(C)C#N",4.1612
435491,"CC(C)(C#N)c1cc(NC(=O)C(C)(C)S(=O)(=O)CCCC(F)(F)F)on1",3.983
435493,"CC(C)(CO)c1cc(NC(=O)C(C)(C)S(=O)(=O)CCCC(F)(F)F)on1",4.5528
435502,"CC(C)(O)c1cc(NC(=O)C(C)(C)S(=O)(=O)CCCC(F)(F)F)on1",4.585
529437,"CCCCCC\C=C\C=C\CCCCCCCC(=O)NCCC(O)=O",4.6576
529438,"CCCCC\C=C/C=C/CCCCCCCCC(=O)NCCC(O)=O",4.6576
529443,"CCCCC\C=C/C=C/CCCCCCCCC(=O)NCC(Cc1c[nH]cn1)C(O)=O",4.3279
529444,"CCCCCC\C=C\C=C\CCCCCCCC(=O)NC(CC(O)=O)Cc1c[nH]cn1",4.3279
590758,"CC1CCC(CC1)NC(=O)c1c(O)c2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(F)cc1",5.4121
590776,"Oc1c(C(=O)NC2CC3(CCC3)C2)c(=O)n(CCN2CCOCC2)c2ccc(cc12)-c1ccc(F)cc1",6.2596
590785,"Fc1ccc(cc1)-c1cnc2n(CCN3CCOCC3)c(=O)c(cc2c1)C(=O)NC1CC2(CCC2)C1",7.4089
590787,"O=C(NC1CC2(CCC2)C1)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccccn1",6.7352
590788,"O=C(NC1CC2(CCC2)C1)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccncn1",6.4461
590790,"Fc1ccc(nc1)-c1cnc2n(CCN3CCOCC3)c(=O)c(cc2c1)C(=O)NC1CC2(CCC2)C1",6.9508
590791,"O=C(NC1CC2(CCC2)C1)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ncccn1",6.2596
590797,"O=C(NC1CC2(CCC2)C1)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(cc1)C#N",5.2159
590799,"O=C(NC12CC(C1)C2)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(cc1)C#N",5.0651
590803,"COc1ccc(cc1)-c1cnc2n(CCN3CCOCC3)c(=O)c(cc2c1)C(=O)NC12CC(C1)C2",5.5558
590805,"FC(F)Oc1ccc(cc1)-c1cnc2n(CCN3CCOCC3)c(=O)c(cc2c1)C(=O)NC1CC2(CCC2)C1",6.0168
590808,"CC(NC(=O)c1cc2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(OC(F)F)cn1)c1ccc(F)cc1",5.5311
590835,"CC(C)c1cnc2n(Cc3ccc(F)cc3)c(=O)c(cc2c1)C(=O)NC12CC(C1)C2",6.384
590836,"CC(C)c1cnc2n(Cc3ccc(F)cc3)c(=O)c(cc2c1)C(=O)N[C@H](C)c1ccc(cc1)C#N",6.2182
590838,"C[C@@H](NC(=O)c1cc2cc(Br)cnc2n(Cc2ccc(F)cc2)c1=O)c1ccc(F)cc1",5.3389
590841,"C[C@H](NC(=O)c1cc2cc(Br)cnc2n(Cc2ccc(F)cc2)c1=O)c1ccc(F)cc1",6.4584
590845,"C[C@@H](NC(=O)c1cc2cc(cnc2n(Cc2ccc(F)cc2)c1=O)C1CC1)c1ccc(F)cc1",5.4862
590846,"C[C@@H](NC(=O)c1cc2cc(cnc2n(Cc2ccc(F)cc2)c1=O)C1CC1)c1ccc(cc1)C#N",6.0482
590850,"CC(C)c1cnc2n(Cc3ccc(F)cn3)c(=O)c(cc2c1)C(=O)N[C@H](C)c1ccc(F)cc1",5.5403
590851,"C[C@@H](NC(=O)c1cc2cc(cnc2n(Cc2ccc(F)cc2)c1=O)C1COC1)c1ccc(cc1)C#N",5.6763
590852,"Fc1ccc(Cn2c3ncc(cc3cc(C(=O)NC3CC4(CCC4)C3)c2=O)C2COC2)cc1",5.7934
590853,"C[C@@H](NC(=O)c1cc2cc(cnc2n(Cc2ccc(F)cc2)c1=O)C1COC1)c1ccc(F)cc1",5.5369
590859,"CC12CC(C1)(C2)NC(=O)c1c(O)c2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(F)cc1",6.2596
590860,"CC1(C)CC(C1)NC(=O)c1c(O)c2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(F)cc1",6.2596
590864,"Oc1c(C(=O)NC23CC(C2)CC3)c(=O)n(CCN2CCOCC2)c2ncc(cc12)-c1ccc(F)cc1",6.2581
590865,"Oc1c(C(=O)NC23CCC(CC2)CC3)c(=O)n(CCN2CCOCC2)c2ncc(cc12)-c1ccc(F)cc1",5.8294
590870,"OCC1(CCCCC1)NC(=O)c1c(O)c2cc(cnc2n(CCN2CCOCC2)c1=O)-c1ccc(F)cc1",5.6354
590892,"C[C@H]1CC[C@H](CC1)NC(=O)c1c(O)c2cccnc2n(Cc2ccc(F)cc2)c1=O",5.474
590905,"C[C@H]1CC[C@H](CC1)NC(=O)c1c(O)c2cc(ccc2n(CCN2CCOCC2)c1=O)-c1ccc(F)cc1",6.2596
646493,"CC(C)=CCc1c(oc2c(C3C=C(C)CC(C3C(=O)c3ccc(O)cc3O)c3ccc(O)cc3O)c(O)cc(O)c2c1=O)-c1ccc(O)cc1O",4.9957
646494,"CC(C)=CCc1c(O)ccc(C(=O)C2C(CC(C)=CC2c2c(O)cc(O)c3c2oc(c(CC=C(C)C)c3=O)-c2ccc(O)cc2O)c2ccc(O)cc2O)c1O",7.0
646495,"CC(C)=CCC12Oc3c(C4C=C(C)CC(C4C(=O)c4ccc(O)cc4O)c4ccc(O)cc4O)c(O)cc(O)c3C(=O)C1(O)Oc1cc(O)ccc21",5.4559
