BindingDB MonomerID,Ligand SMILES,Gbinding Average
21288,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(Br)cc23)C1(C)C,5.7144
21289,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(Cl)ccc23)C1(C)C,7.8539
21290,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(Br)ccc23)C1(C)C,7.8861
21291,Cc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C1C(C)(C)C1(C)C,7.5528
21292,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(ccc23)C(F)(F)F)C1(C)C,7.1549
21293,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(ccc23)S(C)(=O)=O)C1(C)C,5.8962
21294,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cccc(O)c23)C1(C)C,6.4112
21295,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(O)cc23)C1(C)C,6.6904
21296,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(O)ccc23)C1(C)C,5.53
21297,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3c(O)cccc23)C1(C)C,6.6091
21298,COc1cccc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c12,5.9626
21299,"COc1ccc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2c1, COc1ccc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2c1",6.5513
21300,COc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C1C(C)(C)C1(C)C,7.3979
21301,COc1cccc2c(cn(CC3CCOCC3)c12)C(=O)C1C(C)(C)C1(C)C,7.3468
21303,"CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(OCc4ccccc4)cc23)C1(C)C, CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(OCc4ccccc4)cc23)C1(C)C",6.6271
21304,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(OCc4ccccc4)ccc23)C1(C)C,7.4815
21305,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3c(OCc4ccccc4)cccc23)C1(C)C,5.9606
21306,COc1cc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2cc1OCc1ccccc1,5.5522
21307,"COc1cc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2cc1O, COc1cc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2cc1O",6.1071
